CustomerID,FirstName,LastName,EmailAddress
1,Orlando,Gee,orlando0@adventure-works.com
2,Keith,Harris,keith0@adventure-works.com
3,Donna,Carreras,donna0@adventure-works.com
4,Janet,Gates,janet1@adventure-works.com
5,Lucy,Harrington,lucy0@adventure-works.com
6,Rosmarie,Carroll,rosmarie0@adventure-works.com
7,Dominic,Gash,dominic0@adventure-works.com
10,Kathleen,Garza,kathleen0@adventure-works.com
11,Katherine,Harding,katherine0@adventure-works.com
12,Johnny,Caprio,johnny0@adventure-works.com
16,Christopher,Beck,christopher1@adventure-works.com
18,David,Liu,david20@adventure-works.com
19,John,Beaver,john8@adventure-works.com
20,Jean,Handley,jean1@adventure-works.com
21,Jinghao,Liu,jinghao1@adventure-works.com
22,Linda,Burnett,linda4@adventure-works.com
23,Kerim,Hanif,kerim0@adventure-works.com
24,Kevin,Liu,kevin5@adventure-works.com
25,Donald,Blanton,donald0@adventure-works.com
28,Jackie,Blackwell,jackie0@adventure-works.com
29,Bryan,Hamilton,bryan2@adventure-works.com
30,Todd,Logan,todd0@adventure-works.com
34,Barbara,German,barbara4@adventure-works.com
37,Jim,Geist,jim1@adventure-works.com
38,Betty,Haines,betty0@adventure-works.com
39,Sharon,Looney,sharon2@adventure-works.com
40,Darren,Gehring,darren0@adventure-works.com
41,Erin,Hagens,erin1@adventure-works.com
42,Jeremy,Los,jeremy0@adventure-works.com
43,Elsa,Leavitt,elsa0@adventure-works.com
46,David,Lawrence,david19@adventure-works.com
47,Hattie,Haemon,hattie0@adventure-works.com
48,Anita,Lucerne,anita0@adventure-works.com
52,Rebecca,Laszlo,rebecca2@adventure-works.com
55,Eric,Lang,eric6@adventure-works.com
56,Brian,Groth,brian5@adventure-works.com
57,Judy,Lundahl,judy1@adventure-works.com
58,Peter,Kurniawan,peter4@adventure-works.com
59,Douglas,Groncki,douglas2@adventure-works.com
60,Sean,Lunt,sean4@adventure-works.com
61,Jeffrey,Kurtz,jeffrey3@adventure-works.com
64,Vamsi,Kuppa,vamsi1@adventure-works.com
65,Jane,Greer,jane2@adventure-works.com
66,Alexander,Deborde,alexander1@adventure-works.com
70,Deepak,Kumar,deepak0@adventure-works.com
73,Margaret,Krupka,margaret1@adventure-works.com
74,Christopher,Bright,christopher2@adventure-works.com
75,Aidan,Delaney,aidan0@adventure-works.com
76,James,Krow,james11@adventure-works.com
77,Michael,Brundage,michael13@adventure-works.com
78,Stefan,Delmarco,stefan0@adventure-works.com
79,Mitch,Kennedy,mitch0@adventure-works.com
82,James,Kramer,james10@adventure-works.com
83,Eric,Brumfield,eric3@adventure-works.com
84,Della,Demott Jr,della0@adventure-works.com
88,Pamala,Kotc,pamala0@adventure-works.com
91,Joy,Koski,joy0@adventure-works.com
92,Jovita,Carmody,jovita0@adventure-works.com
93,Prashanth,Desai,prashanth0@adventure-works.com
94,Scott,Konersmann,scott6@adventure-works.com
95,Jane,Carmichael,jane0@adventure-works.com
96,Bonnie,Lepro,bonnie2@adventure-works.com
97,Eugene,Kogan,eugene2@adventure-works.com
100,Kirk,King,kirk2@adventure-works.com
101,William,Conner,william1@adventure-works.com
102,Linda,Leste,linda7@adventure-works.com
106,Andrea,Thomsen,andrea1@adventure-works.com
109,Daniel,Thompson,daniel2@adventure-works.com
110,Kendra,Thompson,kendra0@adventure-works.com
111,Scott,Colvin,scott1@adventure-works.com
112,Elsie,Lewin,elsie0@adventure-works.com
113,Donald,Thompson,donald1@adventure-works.com
114,John,Colon,john14@adventure-works.com
115,George,Li,george3@adventure-works.com
